name,0,1,2,3,4,5,6,7,8,9
Lee Min Ho,TBA,Pachinko Season 2,add,"Korean Drama, ",0000,", 1 eps",(Main Role),1,Main Role,0.0
Song Joong Ki,2023,Hopeless,add,Movie,0.0,,,,,
Lee Jong Suk,TBA,Jade Lovers,add,"Chinese Drama, ",0000,", 35 eps",Bai Luo Han,(Main Role),35,Bai Luo Han
Park Bo Gum,TBA,Good Boy,add,"Korean Drama, ",0000,", 1 eps",(Main Role),1,Main Role,0.0
Park Seo Joon,2024,Gyeongseong Creature Season 2,add,"Korean Drama, ",2024,", 0 eps",(Main Role),0,Main Role,0.0
Ji Chang Wook,TBA,Mr. Right,add,"Chinese Drama, ",0000,", 36 eps",Wang Wei An,(Main Role),36,Wang Wei An
Kim Soo Hyun,2024,Queen of Tears,add,"Korean Drama, ",2024,", 16 eps",(Main Role),16,Main Role,0.0
Lee Dong Wook,2024,The Killer's Shopping Mall,add,"Korean Drama, ",2024,", 8 eps",(Main Role),8,Main Role,0.0
Kim So Hyun,TBA,Good Boy,add,"Korean Drama, ",0000,", 1 eps",(Main Role),1,Main Role,0.0
Nam Joo Hyuk,TBA,Here,add,"Korean Drama, ",0000,", 0 eps",(Main Role),0,Main Role,0.0
Gong Yoo,TBA,The Trunk,add,"Korean Drama, ",0000,", 8 eps",(Main Role),8,Main Role,0.0
Lee Joon Gi,2023,Arthdal Chronicles: The Sword of Aramun,add,"Korean Drama, ",2023,", 12 eps",(Main Role),12,Main Role,0.0
Park Hyung Sik,2023,Strong Woman Kang Nam Soon,add,"Korean Drama, ",2023,", 16 eps",(Guest Role),16,Guest Role,0.0
Xiao Zhan,TBA,Tibetan Sea Opera,add,"Chinese Drama, ",0000,", 30 eps",(Main Role),30,Main Role,0.0
IU,2025,You Have Done Well,add,"Korean Drama, ",2025,", 12 eps",(Main Role),12,Main Role,0.0
Kim Woo Bin,2024,Everything Will Come True,add,"Korean Drama, ",2024,", 12 eps",(Main Role),12,Main Role,0.0
Park Min Young,TBA,Braveness of the Ming,add,"Chinese Drama, ",0000,", 30 eps",Xie Yu Fei,(Main Role),30,Xie Yu Fei
Yang Yang,TBA,A Record of a Mortal's Journey to Immortality,add,"Chinese Drama, ",0000,", 40 eps",(Main Role),40,Main Role,0.0
Seo In Guk,2023,Trap by Seo In Guk,add,Movie,7.7,,,,,
Park Shin Hye,2023,Doctor Slump,add,"Korean Drama, ",2023,", 0 eps",(Main Role),0,Main Role,0.0
